"YEAR","STATE.NAME","STATE.ABB","STATE.RANK","SENATE.D","SENATE.R","SENATE.I","SENATE.WOMEN","SENATE.TOTAL","HOUSE.D","HOUSE.R","HOUSE.I","HOUSE.WOMEN","HOUSE.TOTAL","TOTAL.WOMEN","TOTAL.LEGISLATURE","PERCENT.WOMEN"
2014,"Alabama","AL",47,4,0,1,5,35,9,6,NA,15,105,20,140,14.3
2013,"Alabama","AL",47,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2012,"Alabama","AL",47,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2011,"Alabama","AL",48,4,0,1,5,35,9,5,NA,14,105,19,140,13.6
2010,"Alabama","AL",48,4,0,1,5,35,10,3,NA,13,105,18,140,12.9
2009,"Alabama","AL",48,4,1,NA,5,35,10,3,NA,13,105,18,140,12.9
2008,"Alabama","AL",48,3,1,NA,4,35,11,3,NA,14,105,18,140,12.9
2007,"Alabama","AL",47,3,1,NA,4,35,11,3,NA,14,105,18,140,12.9
2006,"Alabama","AL",49,2,1,NA,3,35,11,2,NA,13,105,16,140,11.4
2005,"Alabama","AL",49,2,1,NA,3,35,10,2,NA,12,105,15,140,10.7
2004,"Alabama","AL",49,2,1,NA,3,35,9,2,NA,11,105,14,140,10
2003,"Alabama","AL",49,2,1,NA,3,35,9,2,NA,11,105,14,140,10
2002,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
2001,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
2000,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
1999,"Alabama","AL",50,2,1,NA,3,35,6,2,NA,8,105,11,140,7.9
1998,"Alabama","AL",50,2,0,NA,2,35,4,0,NA,4,105,6,140,4.3
1997,"Alabama","AL",50,2,0,NA,2,35,4,0,NA,4,105,6,140,4.3
1996,"Alabama","AL",50,1,0,NA,1,35,4,0,NA,4,105,5,140,3.6
1995,"Alabama","AL",50,1,0,NA,1,35,4,0,NA,4,105,5,140,3.6
1994,"Alabama","AL",50,1,1,NA,2,35,6,0,NA,6,105,8,140,5.7
1993,"Alabama","AL",49,1,1,NA,2,35,6,0,NA,6,105,8,140,5.7
1992,"Alabama","AL",50,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1991,"Alabama","AL",48,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1990,"Alabama","AL",49,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1989,"Alabama","AL",48,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1988,"Alabama","AL",49,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1987,"Alabama","AL",47,0,1,NA,1,35,7,0,NA,7,105,8,140,5.7
1986,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1985,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1984,"Alabama","AL",46,1,1,NA,2,35,7,0,NA,7,105,9,140,6.4
1983,"Alabama","AL",47,0,1,NA,1,35,5,0,NA,5,105,6,140,4.3
1981,"Alabama","AL",47,0,0,NA,0,35,5,1,NA,6,105,6,140,4.3
1979,"Alabama","AL",48,NA,NA,NA,0,35,NA,NA,NA,4,105,4,140,2.9
1977,"Alabama","AL",48,NA,NA,NA,0,35,NA,NA,NA,3,105,3,140,2.1
1975,"Alabama","AL",50,NA,NA,NA,0,35,NA,NA,NA,1,105,1,140,0.7
2014,"Indiana","IN",35,3,5,NA,8,50,12,10,NA,22,100,30,150,20
2013,"Indiana","IN",34,3,5,NA,8,50,12,11,NA,23,100,31,150,20.7
2012,"Indiana","IN",33,4,7,NA,11,50,11,10,NA,21,100,32,150,21.3
2011,"Indiana","IN",32,4,7,NA,11,50,11,10,NA,21,100,32,150,21.3
2010,"Indiana","IN",35,6,6,NA,12,50,13,7,NA,20,100,32,150,21.3
2009,"Indiana","IN",33,6,6,NA,12,50,13,7,NA,20,100,32,150,21.3
2008,"Indiana","IN",36,6,6,NA,12,50,10,6,NA,16,100,28,150,18.7
2007,"Indiana","IN",33,6,6,NA,12,50,11,6,NA,17,100,29,150,19.3
2006,"Indiana","IN",35,6,6,NA,12,50,8,7,NA,15,100,27,150,18
2005,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2004,"Indiana","IN",36,7,6,NA,13,50,7,7,NA,14,100,27,150,18
2003,"Indiana","IN",36,7,6,NA,13,50,7,7,NA,14,100,27,150,18
2002,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2001,"Indiana","IN",36,6,6,NA,12,50,7,7,NA,14,100,26,150,17.3
2000,"Indiana","IN",35,7,6,NA,13,50,7,7,NA,14,100,27,150,18
1999,"Indiana","IN",35,7,6,NA,13,50,7,7,NA,14,100,27,150,18
1998,"Indiana","IN",29,7,7,NA,14,50,6,8,NA,14,100,28,150,18.7
1997,"Indiana","IN",28,7,7,NA,14,50,6,8,NA,14,100,28,150,18.7
1996,"Indiana","IN",23,7,7,NA,14,50,6,13,NA,19,100,33,150,22
1995,"Indiana","IN",23,7,7,NA,14,50,6,13,NA,19,100,33,150,22
1994,"Indiana","IN",29,7,6,NA,13,50,7,9,NA,16,100,29,150,19.3
1993,"Indiana","IN",28,7,6,NA,13,50,7,9,NA,16,100,29,150,19.3
1992,"Indiana","IN",26,7,5,NA,12,50,7,7,NA,14,100,26,150,17.3
1991,"Indiana","IN",26,7,5,NA,12,50,7,7,NA,14,100,26,150,17.3
1990,"Indiana","IN",33,6,5,NA,11,50,4,6,NA,10,100,21,150,14
1989,"Indiana","IN",33,6,5,NA,11,50,5,6,NA,11,100,22,150,14.7
1988,"Indiana","IN",32,5,3,NA,8,50,5,6,NA,11,100,19,150,12.7
1987,"Indiana","IN",32,5,3,NA,8,50,5,6,NA,11,100,19,150,12.7
1986,"Indiana","IN",29,3,3,NA,6,50,7,6,NA,13,100,19,150,12.7
1985,"Indiana","IN",29,3,3,NA,6,50,7,6,NA,13,100,19,150,12.7
1984,"Indiana","IN",28,2,2,NA,4,50,6,8,NA,14,100,18,150,12
1983,"Indiana","IN",28,2,2,NA,4,50,6,8,NA,14,100,18,150,12
1981,"Indiana","IN",35,2,2,NA,4,50,3,5,NA,8,100,12,150,8
1979,"Indiana","IN",32,NA,NA,NA,3,50,NA,NA,NA,8,100,11,150,7.3
1977,"Indiana","IN",33,NA,NA,NA,3,50,NA,NA,NA,6,100,9,150,6
1975,"Indiana","IN",29,NA,NA,NA,3,50,NA,NA,NA,6,100,9,150,6
2014,"Rhode Island","RI",20,9,0,NA,9,38,19,2,NA,21,75,30,113,26.5
2013,"Rhode Island","RI",19,9,0,NA,9,38,19,2,NA,21,75,30,113,26.5
2012,"Rhode Island","RI",18,9,1,NA,10,38,17,2,NA,19,75,29,113,25.7
2011,"Rhode Island","RI",20,9,1,NA,10,38,17,2,NA,19,75,29,113,25.7
2010,"Rhode Island","RI",30,8,0,NA,8,38,17,0,NA,17,75,25,113,22.1
2009,"Rhode Island","RI",29,8,0,NA,8,38,17,0,NA,17,75,25,113,22.1
2008,"Rhode Island","RI",33,6,1,NA,7,38,13,2,NA,15,75,22,113,19.5
2007,"Rhode Island","RI",31,6,1,NA,7,38,13,2,NA,15,75,22,113,19.5
2006,"Rhode Island","RI",40,7,1,NA,8,38,9,2,NA,11,75,19,113,16.8
2005,"Rhode Island","RI",37,7,1,NA,8,38,9,2,NA,11,75,19,113,16.8
2004,"Rhode Island","RI",31,7,2,NA,9,38,11,3,NA,14,75,23,113,20.4
2003,"Rhode Island","RI",32,7,2,NA,9,38,10,3,NA,13,75,22,113,19.5
2002,"Rhode Island","RI",25,8,2,NA,10,50,20,4,NA,24,100,34,150,22.7
2001,"Rhode Island","RI",23,8,2,NA,10,50,20,4,NA,24,100,34,150,22.7
2000,"Rhode Island","RI",19,9,2,NA,11,50,22,4,NA,26,100,37,150,24.7
1999,"Rhode Island","RI",17,9,2,NA,11,50,22,5,NA,27,100,38,150,25.3
1998,"Rhode Island","RI",13,8,3,NA,11,50,22,6,NA,28,100,39,150,26
1997,"Rhode Island","RI",13,8,3,NA,11,50,22,6,NA,28,100,39,150,26
1996,"Rhode Island","RI",17,8,2,NA,10,50,20,6,NA,26,100,36,150,24
1995,"Rhode Island","RI",17,8,2,NA,10,50,20,6,NA,26,100,36,150,24
1994,"Rhode Island","RI",15,9,2,NA,11,50,18,8,NA,26,100,37,150,24.7
1993,"Rhode Island","RI",14,9,2,NA,11,50,18,8,NA,26,100,37,150,24.7
1992,"Rhode Island","RI",27,7,2,NA,9,50,11,5,NA,16,100,25,150,16.7
1991,"Rhode Island","RI",28,6,2,NA,8,50,11,5,NA,16,100,24,150,16
1990,"Rhode Island","RI",28,5,4,NA,9,50,11,3,NA,14,100,23,150,15.3
1989,"Rhode Island","RI",28,5,4,NA,9,50,11,3,NA,14,100,23,150,15.3
1988,"Rhode Island","RI",22,5,5,NA,10,50,10,4,NA,14,100,24,150,16
1987,"Rhode Island","RI",22,5,5,NA,10,50,10,4,NA,14,100,24,150,16
1986,"Rhode Island","RI",23,3,5,NA,8,50,11,4,NA,15,100,23,150,15.3
1985,"Rhode Island","RI",23,3,5,NA,8,50,11,4,NA,15,100,23,150,15.3
